Sr No,Date,Remarks,Debit,Credit,Balance Amount
31,5/18/2024,UPI/877889900112/CR/JAMES/WXYZ/111222333/NA,,580,49207.70
32,5/18/2024,BY CASH-1234-SELF,,20000,69207.70
33,5/18/2024,UPI/988990011223/DR/Jio Pr/ABCD/paytm-jio/NA,155,,69052.70
34,5/18/2024,UPI/099001122334/DR/redbus/EFGH/redbus.co/redBus,1727,,67325.70
35,5/18/2024,UPI/100011223345/DR/Autope/IJKL/payphi.au/Pay to,461.8,,66863.90
36,5/18/2024,UPI/211122334456/CR/NANCY/MNOP/nancytest/UPI,,800,67663.90
37,5/18/2024,UPI/322233445567/DR/NANCY/QRST/nancytest/Sent f,100,,67563.90
38,5/18/2024,UPI/433344556678/DR/MARK/UVWX/888999000/NA,1855,,65708.90
39,5/18/2024,UPI/544455667789/CR/VICTOR/WXYZ/victortes/Paymen,,501,66209.90
40,5/19/2024,UPI/655566778890/DR/SWIGGY/ABCD/upiswiggy/NA,199,,66010.90
41,5/19/2024,UPI/766677889901/DR/STORE/EFGH/bharatpe9/Pay to,170,,65840.90
42,5/20/2024,RENEWAL - IJKL123456789200524,20,,65820.90
43,5/20/2024,UPI/877788990012/CR/NANCY/MNOP/nancytest/UPI,,300,66120.90
44,5/20/2024,UPI/988899001123/CR/TRAVEL/QRST/travel.co/UPI Re,,445,66565.90
45,5/20/2024,UPI/099900112234/CR/MARK/UVWX/888999000/Paymen,,1710,68275.90
46,5/20/2024,UPI/100001223345/DR/Autope/WXYZ/payphi.au/Pay to,1798.6,,66477.30
47,5/20/2024,UPI/211112334456/DR/Autope/ABCD/payphi.au/Pay to,1798.6,,64678.70
48,5/20/2024,UPI/322223445567/DR/OLIVER/EFGH/666777888/NA,20,,64658.70
49,5/20/2024,UPI/433334556678/DR/SOPHIA/IJKL/q98765432/NA,60,,64598.70
50,5/20/2024,UPI/544445667789/DR/EMMA/MNOP/q87654321/NA,40,,64558.70
51,5/21/2024,UPI/655556778890/CR/Autope/QRST/payphi.au/Refund,,1710,66268.70
52,5/24/2024,UPI/766667889901/DR/MARK/UVWX/888999000/NA,500,,65768.70
53,5/24/2024,UPI/877778990012/DR/POWER/WXYZ/paytm-ptm/NA,1476,,64292.70
54,5/24/2024,UPI/988889001123/DR/Exotic/ABCD/exoticind/Payvia,274.5,,64018.20
55,5/26/2024,UPI/099990112234/DR/Amazon/EFGH/amazon@ya/You ar,2897,,61121.20
56,5/27/2024,UPI/100001223456/DR/JMD En/IJKL/bharti.co/UPI Pa,500,,60621.20
57,5/27/2024,IMPS/211112334567/PAYMENTSVC,,500,61121.20
58,5/27/2024,UPI/322223445678/DR/CATCHY/MNOP/pfintec.c/Collec,500,,60621.20
59,5/31/2024,UPI/433334556789/DR/Amazon/QRST/amazonpay/Reques,1000,,59621.20
60,6/4/2024,UPI/544445667890/CR/Amazon/UVWX/amazon.re/Refund,,899,60520.20
61,6/4/2024,UPI/655556778901/CR/Amazon/WXYZ/amazon.re/Refund,,999,61519.20
62,6/5/2024,UPI/766667889012/DR/SHOP/ABCD/pinelabs./Genera,55,,61464.20
63,6/5/2024,UPI/877778990123/CR/Andrew/EFGH/andrewtes/Paymen,,2,61466.20
64,6/9/2024,UPI/988889001234/DR/LISA/IJKL/111222333/NA,940,,60526.20
65,6/11/2024,UPI/099990112345/DR/KITCHE/MNOP/vyapar.16/NA,150,,60376.20
66,6/12/2024,UPI/100001234567/DR/Amazon/QRST/amazon@ra/You ar,9790,,50586.20
67,7/1/2024,UPI/211123456789/DR/Mr SAM/UVWX/111222333/Sent f,155,,50431.20
68,7/1/2024,UPI/322234567890/DR/Mr SAM/WXYZ/samstest./na,60,,50371.20
69,7/1/2024,UPI/433345678901/DR/Austin/ABCD/austintest/na,60,,50311.20
70,7/2/2024,UPI/544456789012/DR/GEORGE/EFGH/123456789/upilit,10,,50301.20
71,7/8/2024,UPI/655567890123/DR/Bajaj/IJKL/bajajtest/Upi Tr,784,,49517.20
72,7/9/2024,UPI/766678901234/DR/R S EN/MNOP/q12345678/NA,86,,49431.20
73,7/11/2024,UPI/877789012345/DR/CHRIS/QRST/chris.727/na,50,,49381.20
74,7/11/2024,UPI/988890123456/CR/NANCY/UVWX/nancytest/UPI,,2,49383.20
75,7/11/2024,UPI/099901234567/DR/NANCY/WXYZ/nancytest/Sent f,50,,49333.20
76,7/18/2024,UPI/100012345678/CR/NANCY/ABCD/nancytest/UPI,,100,49433.20
77,7/22/2024,UPI/211123456789/CR/HENRY/EFGH/111222333/Paymen,,1,49434.20
78,7/26/2024,UPI/322234567890/DR//IJKL/groww-bse/Paymen,5000,,44434.20
79,7/28/2024,UPI/433345678901/DR//MNOP/apnamart./NA,330,,44104.20
80,7/29/2024,UPI/544456789012/CR/WILSON/QRST/wilsontes/UPI,,1500,45604.20
81,7/29/2024,IMPS/655567890123/FINANCE,,1,45605.20
82,8/2/2024,UPI/766678901234/DR/Airtel/UVWX/payair012/NA,362.8,,45242.40
83,8/2/2024,UPI/877789012345/DR/MARK/WXYZ/888999000/NA,1800,,43442.40
84,8/3/2024,UPI/988890123456/DR/ADAM/ABCD/adamtest./UPI,500,,42942.40
85,8/4/2024,123456789000012:SBInt.Pd:01-05-2024 to 31-07-2024,,1389,44331.40
86,8/4/2024,UPI/099901234567/DR/Jimmy/EFGH/111222333/NA,200,,44131.40
87,8/5/2024,UPI/100012345678/DR/BRIAN/IJKL/briantest/UPI,200,,43931.40
88,8/5/2024,UPI/211123456789/DR/LAGOON/MNOP/pfintec.l/Collec,500,,43431.40
89,8/9/2024,UPI/322234567890/DR/FLIPKA/QRST/flipkarti/PAYMEN,1978,,41453.40
90,8/9/2024,UPI/433345678901/CR/NANCY/UVWX/nancytest/UPI,,1300,42753.40
91,8/9/2024,UPI/544456789012/CR/NANCY/WXYZ/nancytest/UPI,,630,43383.40
92,8/12/2024,UPI/655567890123/CR/NANCY/ABCD/nancytest/UPI,,1.02,43384.42
93,8/12/2024,UPI/766678901234/DR/Mobile/EFGH/mobileser/Jio Pr,209,,43175.42
94,8/16/2024,UPI/877789012345/DR/Flipka/IJKL/flipkart./Upi Tr,480,,42695.42
95,8/17/2024,UPI/988890123456/CR/NANCY/MNOP/nancytest/UPI,,269,42964.42
96,8/18/2024,UPI/099901234567/DR/PETER/QRST/q11112222/Sent f,52,,42912.42
97,8/20/2024,SMSChrgsAPR-JUN24+GST+G CUST 123456789,17.7,,42894.72
